Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
2/12/14,9531,6744983,12.691,"11,812,070",97174,10,24,3
2/13/14,978,6745961,1.725,"11,813,795",97184,7,3,1
2/14/14,4029,6749990,6.586,"11,820,381",97191,14,16,8
2/15/14,2512,6752502,3.834,"11,824,215",97205,16,23,2
2/16/14,3362,6755864,5.063,"11,829,278",97221,12,34,2
2/17/14,5433,6761297,8.226,"11,837,504",97233,10,40,10
2/18/14,5727,6767024,8.393,"11,845,896",97243,19,19,2
2/19/14,9485,6776509,14.086,"11,859,983",97262,18,45,6
2/20/14,12971,6789480,18.707,"11,878,690",97280,27,103,11
2/21/14,9545,6799025,12.423,"11,891,113",97307,34,59,8
2/22/14,14261,6813286,25.945,"11,917,058",97341,38,730,31
2/23/14,14567,6827853,25.298,"11,942,356",97379,56,666,35
2/24/14,14119,6841972,19.238,"11,961,594",97435,76,79,10
2/25/14,14003,6855975,17.699,"11,979,293",97511,45,50,14
2/26/14,12168,6868143,15.039,"11,994,332",97556,28,35,7
2/27/14,13138,6881281,16.042,"12,010,374",97584,28,54,10
2/28/14,10483,6891764,13.017,"12,023,391",97612,38,46,12
3/1/14,9944,6901708,14.364,"12,037,756",97650,37,255,11
3/2/14,9017,6910725,12.288,"12,050,044",97687,40,196,12
3/3/14,8618,6919343,12.02,"12,062,064",97727,41,44,3
3/4/14,11494,6930837,14.473,"12,076,537",97768,39,36,11
3/5/14,14934,6945771,19.147,"12,095,684",97807,62,90,13
3/6/14,13758,6959529,17.12,"12,112,804",97869,38,50,7
3/7/14,14736,6974265,19.809,"12,132,613",97907,63,108,10
3/8/14,18119,6992384,34.814,"12,167,427",97970,82,1211,46
3/9/14,13300,7005684,20.468,"12,187,894",98052,94,496,32
3/10/14,18844,7024528,25.777,"12,213,671",98146,115,206,30
3/11/14,26436,7050964,41.688,"12,255,359",98261,187,574,66
3/12/14,16273,7067237,21.803,"12,277,162",98448,124,153,21
3/13/14,12164,7079401,15.663,"12,292,825",98572,67,55,7
3/14/14,17745,7097146,23.539,"12,316,364",98639,77,209,14
3/15/14,19664,7116810,35.302,"12,351,665",98716,111,1316,54
3/16/14,10740,7127550,16.054,"12,367,720",98827,77,274,31
3/17/14,13681,7141231,17.722,"12,385,442",98904,91,106,19
3/18/14,18046,7159277,24.985,"12,410,427",98995,87,181,30
3/19/14,14387,7173664,19.079,"12,429,506",99082,78,87,19
3/20/14,21299,7194963,31.018,"12,460,523",99160,120,292,36
3/21/14,22266,7217229,33.189,"12,493,712",99280,149,386,26
3/22/14,21671,7238900,42.206,"12,535,919",99429,134,1525,55
3/23/14,12846,7251746,19.105,"12,555,024",99563,115,451,19
3/24/14,14729,7266475,18.838,"12,573,862",99678,84,105,20
3/25/14,17388,7283863,22.135,"12,595,997",99762,79,108,19
3/26/14,15538,7299401,19.368,"12,615,365",99841,72,91,16
3/27/14,18166,7317567,25.302,"12,640,668",99913,78,164,17
3/28/14,20025,7337592,29.858,"12,670,526",99991,81,255,29
3/29/14,4870,7342462,6.546,"12,677,072",100072,55,142,0
3/30/14,8645,7351107,13.365,"12,690,437",100127,93,209,15
3/31/14,18686,7369793,26.78,"12,717,217",100220,117,276,47Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Memberships Sold,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
4/1/14,26163,7395956,40.978,"12,758,196",100337,174,475,67
4/2/14,24299,7420255,35.54,"12,793,736",100511,118,237,33
4/3/14,28379,7448634,44.649,"12,838,385",100629,171,596,63
4/4/14,13593,7462227,17.644,"12,856,030",100800,92,103,10
4/5/14,20333,7482560,36.797,"12,892,827",100892,127,1221,42
4/6/14,22643,7505203,45.575,"12,938,402",101019,165,1641,62
4/7/14,15869,7521072,21.9,"12,960,303",101184,131,159,36
4/8/14,23636,7544708,34.85,"12,995,153",101315,126,369,44
4/9/14,29194,7573902,45.619,"13,040,772",101441,201,447,57
4/10/14,29722,7603624,46.023,"13,086,794",101642,172,525,65
4/11/14,29283,7632907,49.269,"13,136,064",101814,140,632,83
4/12/14,29773,7662680,63.649,"13,199,713",101954,175,2710,89
4/13/14,29521,7692201,65.746,"13,265,459",102129,228,2411,109
4/14/14,31732,7723933,57.307,"13,322,766",102357,266,993,114
4/15/14,11370,7735303,14.639,"13,337,404",102623,128,73,19
4/16/14,21713,7757016,31.427,"13,368,832",102751,132,279,50
4/17/14,24190,7781206,36.642,"13,405,474",102883,113,470,53
4/18/14,22409,7803615,33.846,"13,439,319",102996,98,628,60
4/19/14,26541,7830156,59.461,"13,498,781",103094,118,2666,99
4/20/14,20122,7850278,40.814,"13,539,595",103212,154,1639,84
4/21/14,29618,7879896,50.57,"13,590,165",103366,276,839,105
4/22/14,29580,7909476,45.813,"13,635,978",103642,169,560,58
4/23/14,29341,7938817,44.266,"13,680,243",103811,173,358,68
4/24/14,30515,7969332,48.329,"13,728,573",103984,160,646,95
4/25/14,30299,7999631,49.915,"13,778,488",104144,126,767,56
4/26/14,21785,8021416,42.759,"13,821,247",104270,118,1720,57
4/27/14,24093,8045509,46.188,"13,867,436",104388,156,1616,84
4/28/14,31279,8076788,51.168,"13,918,604",104544,176,744,94
4/29/14,20003,8096791,26.84,"13,945,444",104720,120,160,24
4/30/14,3093,8099884,3.572,"13,949,016",104840,63,15,0
