,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
86,12/26/17,14113.0,32919.0,253324.0,220.0,29.0,109,11/1/17 7:14,11/1/17 7:16,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,29577,Subscriber,1984.0,1
87,12/27/17,16365.0,31793.0,253346.0,234.0,33.0,163,11/1/17 7:16,11/1/17 7:19,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,31842,Subscriber,1959.0,2
88,12/28/17,13419.0,34438.0,253365.0,121.0,17.0,143,11/1/17 7:17,11/1/17 7:19,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,31874,Subscriber,,0
89,12/29/17,13759.0,29284.0,253395.0,177.0,17.0,159,11/1/17 7:17,11/1/17 7:20,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,26247,Subscriber,1960.0,1
90,12/30/17,5956.0,13910.0,253407.0,53.0,10.0,134,11/1/17 7:18,11/1/17 7:20,3205,JC Medical Center,40.71653978,-74.04963791,3185,City Hall,40.717732500000004,-74.04384499999999,31890,Subscriber,1981.0,1
91,12/31/17,6569.0,18326.0,253443.0,94.0,2.0,274,11/1/17 7:18,11/1/17 7:23,3207,Oakland Ave,40.7376037,-74.05247829999999,3640,Journal Square,40.733670000000004,-74.0625,26215,Subscriber,1980.0,1
92,,,,,,,568,11/1/17 7:19,11/1/17 7:29,3198,Heights Elevator,40.74871595,-74.04044329999999,3202,Newport PATH,40.7272235,-74.03375890000001,16703,Subscriber,1981.0,1
93,,,,,,,120,11/1/17 7:19,11/1/17 7:21,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.03375890000001,26316,Subscriber,1988.0,1
94,,,,,,,313,11/1/17 7:19,11/1/17 7:24,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,31709,Subscriber,1982.0,2
95,,,,,,,271,11/1/17 7:19,11/1/17 7:24,3275,Columbus Drive,40.718355200000005,-74.03891444,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,26192,Subscriber,1983.0,2
96,,,,,,,301,11/1/17 7:20,11/1/17 7:25,3209,Brunswick St,40.7241765,-74.05065640000001,3185,City Hall,40.717732500000004,-74.04384499999999,26208,Subscriber,1986.0,2
97,,,,,,,312,11/1/17 7:21,11/1/17 7:26,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,26285,Subscriber,1987.0,2
98,,,,,,,240,11/1/17 7:23,11/1/17 7:27,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,31747,Subscriber,1983.0,1
99,,,,,,,286,11/1/17 7:23,11/1/17 7:27,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31825,Subscriber,1971.0,2
100,,,,,,,177,11/1/17 7:24,11/1/17 7:27,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,31842,Subscriber,1982.0,2
101,,,,,,,179,11/1/17 7:25,11/1/17 7:28,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,26249,Subscriber,1984.0,1
102,,,,,,,657,11/1/17 7:26,11/1/17 7:37,3198,Heights Elevator,40.74871595,-74.04044329999999,3195,Sip Ave,40.73074263,-74.06378388,26250,Subscriber,1984.0,1
